Project Name,Contract Address
safu certificate CatBillionaire ,0x4aa0538b450DBc90EEbc37e809560e12Ec93E0F6
safu certificate SWIF ,
safu certificate darkshiba2,
safu certificate babykitten ,0x5aB7756B304519b1C648FF8c331F81b68F145F9C
safu certificate darkshiba,0x6130180534cDE82F87158993a141Cee065227769
safu certificate solgoku,0xa015D781A91109f80592FF9Ef7C5DDfd922DE1DB
safu certificate scrooge,0x29121060535F3603987AE2cfC369ff78aa4Dd279
safu certificate myroflokiceo ,0x1D3523479F001A3b8a2D5AD18F69048C2fa63578
safu certificate feline ,0x1A72F53D4e66b66893Ea3f047042F01F15de5a4b
safu certificate saitama ,0x2E6c266a7aacf7CB0073aa9A9e00956AB5825F34
safu certificate BABYBOO ,0xD9694313a022F370B40054471A67B8088b8de0D1
kingmyro  safu certificate ,0xc9C55f4310D2363553A1390Bf93ecE8597360556
safu certificate boxingbet ,0x2B8E7d8769f998Bd922a6a944b69de3a051F6Cd5
safu certificate grok tether,0x0002653B30B00820E187FA37d567500A92060A93
safu certificate flintstones,0x89802d31B6048a19FC6E6171497c28dDBFB7e678
safu certificate futurama inu ,0x62939A73344daC298e1FbbBDCB780f7106D9b464
safu certificate solar ,0x288204B1dd06e87e6518bab40964A190122f8208
safu certificate VaultChain,0x1CBD98b6F5DaF0b4BEa3B419ABd684c9Cda27ad0
safu certificate energy,0x47Ca2178D3C7C86AD8f1007006dAE2A92a8bDE2F
safu DFM,0x5c6A7f7d5C1Bf2D6C5fe31b1efDC7F3c44E09A7a
safu nbabydoge,0x4d1263dCbcAbcE26c8710D8A3D20445C1d7e88c9
safu certificate xbob ,0x63fef401e99c5396F634087C601234c50766a461
safu xcat,0xd3CF47A5d71Cd06bef47eeb7649dEAfFdF3cd9A7
safu lego,0x1A9Bd7bb136545899bfD1bCCaE8030271D24dDfB
safu rebase,0xcA3568ca711AABbFa30ee2Bf8F94a11807515dCB
safu starwars,0x7E2BF5b7d6bdd326F66fF10276c0229814ee22A7
safu nexus chain,0x286C0B3F144dDe65F02076e8c4Cd0A347fB1Ff19
THE PRO SAFU,0x37c2a2328dF3E9cA5A428E2c5FF9958Be18383Bd
safu certificate cube ,0xBe57eDdE909cA13a9a3C326DFE5543d95F9b007F
Toker_safu,0x219Aa1Ae7efEc27aC3B1221C3149B78f4148C127
safu certificate ELONFLOKICEO (1),0x151191eE1Feb57D913692ab4190D0399184967D6
safu certificate pdm,0x7Edac7C2b425C91FEB700043E5FC2904b86B4BB3
safu certificate ELONFLOKICEO,0x000baF95C8A410b9B09c2595864D349150699AE5
safu certificate PinkPepe,0x6A81FB97564d6d2a896C2C7fA4132E3b21225192
safu certificate wallofmemes ,0x63Faa8189342a206d98e94e81e18a37ea3b0Fc47
safu certificate doraemon,0x778fA5E51b25A393d78dB18AB5A4D1fE7Ddb5C89
safu certificate peg-martik,0x409C479a48839Bf45Fa1A8B8115C74f873C19097
